wavenumber(cm^-1),spol(y),ppol(zx),spol(x),ppol(zy)
1.500000000000000000e+03,-4.540424606060542079e-10,1.973697558470914251e-09,-8.010787953238236292e-10,3.709712536854469166e-10
1.501000000000000000e+03,-4.554098669672962141e-10,1.979460529178253747e-09,-8.035253722765181621e-10,3.717502647285096813e-10
1.502000000000000000e+03,-4.567568712490491331e-10,1.985156274588768244e-09,-8.059821161943849609e-10,3.723208727158509936e-10
1.503000000000000000e+03,-4.581148264886488972e-10,1.990960271852509117e-09,-8.084567042921028871e-10,3.729678974223842443e-10
1.504000000000000000e+03,-4.595058904567836009e-10,1.996632804001991645e-09,-8.109186444888489000e-10,3.736947759642670852e-10
1.505000000000000000e+03,-4.608641960537059590e-10,2.002579167133739096e-09,-8.134360754295739433e-10,3.742879224636222060e-10
1.506000000000000000e+03,-4.622581205528917758e-10,2.008228588751838561e-09,-8.159032544202993865e-10,3.749807068848738891e-10
1.507000000000000000e+03,-4.636595593603457134e-10,2.014105825352949798e-09,-8.184243930138192919e-10,3.756868068611985203e-10
1.508000000000000000e+03,-4.650149655281919105e-10,2.019767396927733687e-09,-8.208968179253171085e-10,3.761896237342748567e-10
1.509000000000000000e+03,-4.664186803127486571e-10,2.025615497762615920e-09,-8.234223669025936034e-10,3.768567305624578887e-10
1.510000000000000000e+03,-4.678183667397787898e-10,2.031409927171910449e-09,-8.259415115035359547e-10,3.774811391902232001e-10
1.511000000000000000e+03,-4.692245994304310137e-10,2.037458152030315582e-09,-8.285133178360186616e-10,3.781463670853702712e-10
1.512000000000000000e+03,-4.706271849697639940e-10,2.043229704775232295e-09,-8.310378305160116107e-10,3.787364965598648114e-10
1.513000000000000000e+03,-4.720360512427065605e-10,2.049217016582170404e-09,-8.336146562034325382e-10,3.793297931319755814e-10
1.514000000000000000e+03,-4.734831223407609134e-10,2.054965554376041676e-09,-8.361445397069200130e-10,3.800775521839107134e-10
1.515000000000000000e+03,-4.748947203561055304e-10,2.060963470563933107e-09,-8.387264894074026762e-10,3.806704048554821218e-10
1.516000000000000000e+03,-4.763447798692413824e-10,2.066845672005623573e-09,-8.413033884168355393e-10,3.813484961758068909e-10
1.517000000000000000e+03,-4.777591550836793195e-10,2.072783612607892543e-09,-8.438905585622248320e-10,3.818700895604747726e-10
1.518000000000000000e+03,-4.792122044014783121e-10,2.078871066193472283e-09,-8.465146191648835306e-10,3.825494333843733715e-10
1.519000000000000000e+03,-4.806711165294880333e-10,2.084784873356980470e-09,-8.491070850260990150e-10,3.832281219036793859e-10
1.520000000000000000e+03,-4.820854277828026985e-10,2.090849749956858390e-09,-8.517366953565815959e-10,3.836803533586550223e-10
1.521000000000000000e+03,-4.835472288523736673e-10,2.096932508716621762e-09,-8.543762779011054759e-10,3.843237354239544285e-10
1.522000000000000000e+03,-4.850062889444194962e-10,2.102939134955894060e-09,-8.570114674219409231e-10,3.848986146535471542e-10
1.523000000000000000e+03,-4.865128674350795694e-10,2.108998277552912971e-09,-8.596564918324518511e-10,3.857000449023627704e-10
1.524000000000000000e+03,-4.879749767114148240e-10,2.115175527003370181e-09,-8.623391356629500182e-10,3.862404700777844221e-10
1.525000000000000000e+03,-4.894426878015074842e-10,2.121211182673716824e-09,-8.649896494490483089e-10,3.868135594269392688e-10
1.526000000000000000e+03,-4.909078193664660099e-10,2.127365946621946804e-09,-8.676779623641143031e-10,3.873192753383554781e-10
1.527000000000000000e+03,-4.924204460069620721e-10,2.133536081215293723e-09,-8.703759409949474772e-10,3.880150701427926015e-10
1.528000000000000000e+03,-4.939306151253376314e-10,2.139668340447619238e-09,-8.730699522778975703e-10,3.886799624510723023e-10
1.529000000000000000e+03,-4.954043064969655181e-10,2.145815244359245377e-09,-8.757735349200874210e-10,3.891468297378341915e-10
1.530000000000000000e+03,-4.969175854355886286e-10,2.152119059572788261e-09,-8.785152927412673371e-10,3.897771311922242133e-10
1.531000000000000000e+03,-4.984363504397394107e-10,2.158437114171415573e-09,-8.812665926580633244e-10,3.904029399697633252e-10
1.532000000000000000e+03,-4.999527678710318519e-10,2.164488350949780494e-09,-8.839720622868113969e-10,3.909627482031182024e-10
1.533000000000000000e+03,-5.014746254554083726e-10,2.170783412911733571e-09,-8.867290717918577620e-10,3.915534781524762822e-10
1.534000000000000000e+03,-5.029941823743089822e-10,2.177201265211052278e-09,-8.895245955785886867e-10,3.920785017807878637e-10
1.535000000000000000e+03,-5.045613246372697947e-10,2.183437537350812084e-09,-8.922873777494854053e-10,3.927929211927676379e-10
1.536000000000000000e+03,-5.060840497676188295e-10,2.189833221756268582e-09,-8.950888065108987515e-10,3.932831376673276548e-10
1.537000000000000000e+03,-5.076543794206766857e-10,2.196082532147073042e-09,-8.978573678896824578e-10,3.939986254755176070e-10
1.538000000000000000e+03,-5.091802735871946198e-10,2.202419909470284850e-09,-9.006647031871047927e-10,3.944178922060583594e-10
1.539000000000000000e+03,-5.107537942184879972e-10,2.208805511768346302e-09,-9.034813550724905978e-10,3.950623113428374385e-10
1.540000000000000000e+03,-5.123251885354752831e-10,2.215316045368128685e-09,-9.063369604095027910e-10,3.956419421039785545e-10
1.541000000000000000e+03,-5.139019314479022885e-10,2.221678977549190951e-09,-9.091595162915586732e-10,3.962513060919845709e-10
1.542000000000000000e+03,-5.154765818629700007e-10,2.228167428257715780e-09,-9.120211453310346341e-10,3.967960722675533494e-10
1.543000000000000000e+03,-5.170565498612272251e-10,2.234667348539376966e-09,-9.148920304619097281e-10,3.973341187084605218e-10
1.544000000000000000e+03,-5.186344569983463408e-10,2.241133695506279320e-09,-9.177597123317588607e-10,3.978438678076641478e-10
1.545000000000000000e+03,-5.202176526018065204e-10,2.247611064162122231e-09,-9.206365961895635457e-10,3.983465646842064568e-10
1.546000000000000000e+03,-5.218413192377033480e-10,2.254251495692106865e-09,-9.235528398784256631e-10,3.990174563231182158e-10
1.547000000000000000e+03,-5.234277728157899240e-10,2.260866534652927259e-09,-9.264782896193326428e-10,3.994485768942274330e-10
1.548000000000000000e+03,-5.250547832335800762e-10,2.267252276807857724e-09,-9.293581387840542920e-10,4.000483035387236951e-10
1.549000000000000000e+03,-5.266870849336053238e-10,2.274041559800101525e-09,-9.323322739481632611e-10,4.006405645641528568e-10
1.550000000000000000e+03,-5.283174676638271846e-10,2.280601832590691471e-09,-9.352608584535290171e-10,4.012053206730847125e-10
1.551000000000000000e+03,-5.299531170752338593e-10,2.287172084480817767e-09,-9.381985514408070547e-10,4.017623132002581012e-10
1.552000000000000000e+03,-5.315868728372962304e-10,2.293870947470065566e-09,-9.411759891675179604e-10,4.022556172477911148e-10
1.553000000000000000e+03,-5.332258716650856578e-10,2.300615978863406837e-09,-9.441625442274139689e-10,4.027771970762369798e-10
1.554000000000000000e+03,-5.349057319791461137e-10,2.307293006515132095e-09,-9.471462703700248870e-10,4.034325496113549875e-10
1.555000000000000000e+03,-5.365481098621898802e-10,2.313979437898298562e-09,-9.501390680443380114e-10,4.038823045850313893e-10
1.556000000000000000e+03,-5.382314300043201289e-10,2.320795681536848925e-09,-9.531718793838995711e-10,4.044661603614900834e-10
1.557000000000000000e+03,-5.398771884005526019e-10,2.327657625126043168e-09,-9.562137734745775312e-10,4.048802966789847094e-10
1.558000000000000000e+03,-5.415639690765009707e-10,2.334254313114494908e-09,-9.592101380709354463e-10,4.054289015487859672e-10
1.559000000000000000e+03,-5.432559831996929362e-10,2.341255676780495211e-09,-9.623012471596173501e-10,4.059687910699915013e-10
1.560000000000000000e+03,-5.449462528783137101e-10,2.347991937382670089e-09,-9.653468706406705088e-10,4.064455883994902779e-10
1.561000000000000000e+03,-5.466417358872093797e-10,2.354971506131906681e-09,-9.684444294901714723e-10,4.069499163562337618e-10
1.562000000000000000e+03,-5.483784548211209168e-10,2.361685904929200574e-09,-9.714964896183652145e-10,4.075896430775935922e-10
1.563000000000000000e+03,-5.500774357957851545e-10,2.368606960251487985e-09,-9.746005008293026195e-10,4.080218132503615506e-10
